"tree_node_id";"period_id";"state_id";"effect_id";"currency_id";"financials_decumulated_amount";"financials_cumulated_amount";"financials_base_currency_flag";"financials_level_aggregation";"snapshot_date"
"37828a2c7f96474c997cafc92ac7b02f";"9999";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;4823;4823;true;;"2021-02-18 23:59:59"
"0ba0d0fa1c0641fd81f1d5bd1778577d";"20210131";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;310;310;true;;"2021-02-18 23:59:59"
"0ba0d0fa1c0641fd81f1d5bd1778577d";"20201231";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;249;249;true;;"2021-02-18 23:59:59"
"0ba0d0fa1c0641fd81f1d5bd1778577d";"20201130";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;160;160;true;;"2021-02-18 23:59:59"
"0ba0d0fa1c0641fd81f1d5bd1778577d";"2020";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;409;409;true;;"2021-02-18 23:59:59"
"0ba0d0fa1c0641fd81f1d5bd1778577d";"2021";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;310;310;true;;"2021-02-18 23:59:59"
"0ba0d0fa1c0641fd81f1d5bd1778577d";"9999";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;719;719;true;;"2021-02-18 23:59:59"
"045ffc995722446a838e248b8d877b1f";"20201231";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;67;67;true;;"2021-02-18 23:59:59"
"045ffc995722446a838e248b8d877b1f";"20201130";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;60;60;true;;"2021-02-18 23:59:59"
"045ffc995722446a838e248b8d877b1f";"20210131";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;85;85;true;;"2021-02-18 23:59:59"
"045ffc995722446a838e248b8d877b1f";"2020";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;127;127;true;;"2021-02-18 23:59:59"
"045ffc995722446a838e248b8d877b1f";"2021";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;85;85;true;;"2021-02-18 23:59:59"
"045ffc995722446a838e248b8d877b1f";"9999";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;212;212;true;;"2021-02-18 23:59:59"
"6fb3eb1c7d924dad853dc204bada163a";"20201231";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;300;300;true;;"2021-02-18 23:59:59"
"6fb3eb1c7d924dad853dc204bada163a";"20201130";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;240;240;true;;"2021-02-18 23:59:59"
"6fb3eb1c7d924dad853dc204bada163a";"20210131";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;341;341;true;;"2021-02-18 23:59:59"
"6fb3eb1c7d924dad853dc204bada163a";"2020";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;540;540;true;;"2021-02-18 23:59:59"
"6fb3eb1c7d924dad853dc204bada163a";"2021";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;341;341;true;;"2021-02-18 23:59:59"
"6fb3eb1c7d924dad853dc204bada163a";"9999";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;881;881;true;;"2021-02-18 23:59:59"
"067ddc38b745449599f039a86a92b74d";"20201231";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;1564;1564;true;;"2021-02-18 23:59:59"
"067ddc38b745449599f039a86a92b74d";"20210131";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;1816;1816;true;;"2021-02-18 23:59:59"
"067ddc38b745449599f039a86a92b74d";"20201130";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;1247;1247;true;;"2021-02-18 23:59:59"
