"effect_id";"parent_id";"effect_original_aggregation";"effect_aggregation";"effect_year_aggregation";"effect_total_aggregation";"effect_is_auto_calculated";"effect_is_bold";"effect_description";"effect_is_italic";"effect_order";"effect_is_not_currency";"effect_restriction";"effect_is_calculation";"effect_calculation_formula";"effect_tags";"snapshot_date"
"Nombre d’exploitations certifiées ""haute valeur environnementale"" - CIC";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur: 15/07/2021";"False";"15";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Surface agricole utile (SAU) dédiée aux légumineuses associée aux projets soutenus (ha) - PPR";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur: 15/07/2021";"False";"20";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Entrées de jeunes en PEC - PEC";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur: 31/12/2020";"False";"610";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Montant cumulé de l’investissement total ainsi déclenché - PEE";"";"None";"None";"None";"None";"False";"False";"";"False";"140";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre d'aides à l'embauche des jeunes - PEJ";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur: 31/08/2020";"False";"600";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Montant des fonds propres garantis - GFP";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur: 01/07/2021";"False";"200";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre de projets bénéficiaires (validés) - RRE";"";"None";"None";"None";"None";"False";"False";"Avec accord de principe validé pour le financement de l'opération. Date prévisionnelle de la première valeur non nulle de l'indicateur: 15/04/2021";"False";"490";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Locaux acquis par des foncières soutenues par la Banque des territoires, en vue de l’ouverture de nouveaux commerces - RDC";"";"None";"None";"None";"None";"False";"False";"";"False";"70";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Montant total des travaux associés aux dossiers validés - MPR";"";"None";"None";"None";"None";"False";"False";"Correspond aux dossiers validés (remboursés  6 mois après)";"False";"395";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Linéaire de réseaux d’eau potable et de réseaux d’assainissement soutenus en outre-mer - EOM";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur: 28/02/2021";"False";"447";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre d’entreprises bénéficiares - SBF";"";"None";"None";"None";"None";"False";"False";"";"False";"232";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre de ponts du réseau routier national rénovés - PRN";"";"None";"None";"None";"None";"False";"False";"";"False";"294";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Surface agricole utile (SAU) couverte par des investissements de réduction d'intrants (ha) - AEA";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur: 15/04/2021";"False";"35";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Taux d'agents équipés pour le travail à distance - PTA";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur: 01/01/2021";"False";"370";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre d’entreprises bénéficiaires - ETE";"";"None";"None";"None";"None";"False";"False";"";"False";"261";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Surface de forêts améliorées, adaptées, régénérées ou reconstituées (ha) - IFO";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur: 15/04/2021";"False";"45";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre de TPE/PME/ETI bénéfinciaires - MTV";"";"None";"None";"None";"None";"False";"False";"";"False";"253";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Emissions de gaz à effet de serre évitées sur la durée de vie des équipements - PEE";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur: 01/12/2020";"False";"465";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre d’appels à projet lancés - DVD";"";"None";"None";"None";"None";"False";"False";"";"False";"320";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre de dossiers MaPrimeRénov' payés - MPR";"";"None";"None";"None";"None";"False";"False";"Correspond aux dossiers remboursés";"False";"402";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Economies d'énergie cumulées - MPR";"";"None";"None";"None";"None";"False";"False";"Economies associées aux dossiers validés. Date prévisionnelle de la première valeur non nulle de l'indicateur: 21/03/2021";"False";"405";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre d'opérations (routes et ponts) des CPER financées par le plan de relance - CPE";"";"None";"None";"None";"None";"False";"False";"";"False";"292";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre de communes soutenues - TSA";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur: 15/04/2021";"False";"5";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Montant total des primes versées - MPR";"";"None";"None";"None";"None";"False";"False";"Correspond aux dossiers remboursés. Date prévisionnelle de la première valeur non nulle de l'indicateur: 01/02/2021";"False";"400";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre d’appels à projet lancés - MNS";"";"None";"None";"None";"None";"False";"False";"";"False";"322";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Montant des crédits programmés - DRA";"";"None";"None";"None";"None";"False";"False";"Montant des crédits programmés";"False";"426";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Pourcentage des financements améliorant la performance climatique et matière - FVE";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur: 01/01/2022";"False";"185";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre d’entreprises bénéficiares - PIT";"";"None";"None";"None";"None";"False";"False";"";"False";"230";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre d’entreprises ayant reçu l’aide - CBC";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur: Janvier 2021 ou février 2021";"False";"458";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre de TPE/PME/ETI bénéficiaires - SBF";"";"None";"None";"None";"None";"False";"False";"";"False";"252";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
