"effect_id";"parent_id";"effect_original_aggregation";"effect_aggregation";"effect_year_aggregation";"effect_total_aggregation";"effect_is_auto_calculated";"effect_is_bold";"effect_description";"effect_is_italic";"effect_order";"effect_is_not_currency";"effect_restriction";"effect_is_calculation";"effect_calculation_formula";"effect_tags";"snapshot_date"
Nombre d’entreprises - BPI;;None;None;None;None;false;false;Date prévisionnelle de la première valeur non nulle de l'indicateur: 17/11/2020;false;135;true;"";false;"";{Plan de Relance européen,periodicity:monthly,planningdate:112020,Entreprises,aggregated,effect:main};"2021-02-18 23:59:59"
Nombre de stratégies validées - ICC;;None;None;None;None;false;false;"";false;316;true;"";false;"";{aggregated,periodicity:monthly,PIA,Entreprises};"2021-02-18 23:59:59"
Nombre d’entreprises bénéficiaires - SAC;;None;None;None;None;false;false;Nombre de lauréats. Dans certains cas il peut y avoir pour un même projet, deux lauréats dans deux départements différents. La somme des informations départementales n’est donc pas égale à la somme des informations régionales.;false;228;true;"";false;"";{appel à projets,cumulated,aggregated,periodicity:monthly,tableau de bord,Entreprises,effect:main};"2021-02-18 23:59:59"
Nombre de PME - BPI;;None;None;None;None;false;false;Date prévisionnelle de la première valeur non nulle de l'indicateur: 17/11/2020;false;145;true;"";false;"";{planningdate:112020,Entreprises,aggregated,periodicity:monthly};"2021-02-18 23:59:59"
Volume d’hydrogène soutenu - MDS;;None;None;None;None;false;false;Date prévisionnelle de la première valeur non nulle de l'indicateur : 30/09/2022;false;565;true;"";false;"";{Convention citoyenne pour le climat,Entreprises,appel à projets,aggregated,periodicity:monthly,effect:main};"2021-02-18 23:59:59"
Nombre de projets de tourisme durable financés - TDU;;None;None;None;None;false;false;"";false;65;true;"";false;"";{effect:main,periodicity:monthly,Entreprises,aggregated};"2021-02-18 23:59:59"
Nombre de TPE/PME/ETI bénéficiaires - APR;;None;None;None;None;false;false;Date prévisionnelle de la première valeur non nulle de l'indicateur: 30/11/2020;false;246;true;"";false;"";{tableau de bord,cumulated,Entreprises,aggregated,periodicity:monthly,planningdate:112020,effect:main};"2021-02-18 23:59:59"
Nombre de projets de rénovation de cathédrales et de monuments nationaux initiés - PAE;;None;None;None;None;false;false;Marchés notifiés. Date prévisionnelle de la première valeur non nulle de l'indicateur: 01/06/2021;false;90;true;"";false;"";{tableau de bord,periodicity:monthly,Entreprises,planningdate:062021,cumulated,effect:main,Plan de Relance européen,aggregated};"2021-02-18 23:59:59"
Nombre d’entreprises bénéficiaires - MNS;;None;None;None;None;false;false;"";false;263;true;"";false;"";{Entreprises,periodicity:quarterly,aggregated,Plan de Relance européen,PIA};"2021-02-18 23:59:59"
Nombre de TPE/PME/ETI bénéficiaires - IFS;;None;None;None;None;false;false;"";false;192;true;"";false;"";{effect:main,aggregated,PIA,appel à projets,periodicity:quarterly,Plan de Relance européen,Entreprises};"2021-02-18 23:59:59"
Montant des subventions apportées - IDF;;None;None;None;None;false;false;Date prévisionnelle de la première valeur non nulle de l'indicateur : 28/02/2021;false;265;true;"";false;"";{Plan de Relance européen,periodicity:monthly,tableau de bord,aggregated,planningdate:022021,Entreprises};"2021-02-18 23:59:59"
