"effect_id","parent_id","effect_original_aggregation","effect_aggregation","effect_year_aggregation","effect_total_aggregation","effect_is_auto_calculated","effect_is_bold","effect_description","effect_is_italic","effect_order","effect_is_not_currency","effect_restriction","effect_is_calculation","effect_calculation_formula","effect_tags","snapshot_date"
Nombre de TPE/PME/ETI bénéfinciaires - DRA,,None,None,None,None,false,false,Date prévisionnelle de la première valeur non nulle de l'indicateur: 01/07/2021,false,130,true,"",false,"","{Plan de Relance européen,aggregated,planningdate:072021,periodicity:monthly,PIA}","2021-03-05 23:59:59"
Nombre de ponts des collectivités recensés en vue d'un diagnostic - PRR,,None,None,None,None,false,false,Date prévisionnelle de la première valeur non nulle de l'indicateur: 01/05/2021,false,292,true,"",false,"","{aggregated,effect:main,cumulated,Collectivités territoriales,planningdate:052021,periodicity:monthly}","2021-03-05 23:59:59"
Nombre de centres de tri modernisés - MCT,,None,None,None,None,false,false,Nombre de centres de tri modernisés,false,475,true,"",false,"","{aggregated,effect:main,periodicity:monthly,appel à projets,Plan de Relance européen,Convention citoyenne pour le climat,Collectivités territoriales,Entreprises}","2021-03-05 23:59:59"
Montant total des investissements ainsi déclenchés (effet de levier) - ROF,,None,None,None,None,false,false,"",false,222,true,"",false,"","{tableau de bord,periodicity:monthly,aggregated,Entreprises}","2021-03-05 23:59:59"
Nombre d’écoles bénéficiant d’un financement - SNE,,None,None,None,None,false,false,Date prévisionnelle de la première valeur non nulle de l'indicateur: 01/05/2021,false,290,true,"",false,"","{effect:main,Collectivités territoriales,Plan de Relance européen,appel à projets,planningdate:052021,Administrations,periodicity:monthly}","2021-03-05 23:59:59"
Nombre de fonds labellisés - GFP,,None,None,None,None,false,false,Date prévisionnelle de la première valeur non nulle de l'indicateur: 19/10/2020,false,207,true,"",false,"","{effect:main,planningdate:102020,aggregated,tableau de bord,periodicity:monthly,Entreprises,cumulated}","2021-03-05 23:59:59"
Nombre de repas servis dans les restaurants universitaires au tarif à 1€ - RRU,,None,None,None,None,false,false,"",false,295,true,"",false,"","{periodicity:monthly,Particuliers,aggregated,effect:main}","2021-03-05 23:59:59"
"Nombre d’entreprises aidées dans les secteurs du cinéma, de l’audiovisuel, du numérique et du livre - SFC",,None,None,None,None,false,false,Date prévisionnelle de la première valeur non nulle de l'indicateur: 01/03/2020,false,110,true,"",false,"","{effect:main,aggregated,cumulated,Entreprises,periodicity:monthly,planningdate:032020,Plan de Relance européen}","2021-03-05 23:59:59"
Nombre d’entreprises ayant reçu l’aide - PEE,,None,None,None,None,false,false,Date prévisionnelle de la première valeur non nulle de l'indicateur: 01/12/2020,false,457,true,"",false,"","{planningdate:122020,periodicity:monthly,Plan de Relance européen,tableau de bord,effect:main,appel à projets,Convention citoyenne pour le climat,Entreprises,aggregated,cumulated}","2021-03-05 23:59:59"
Montant total des projets financés - PIA,,None,None,None,None,false,false,"",false,352,true,"",false,"","{Entreprises,periodicity:monthly,aggregated,Plan de Relance européen,PIA}","2021-03-05 23:59:59"
Nombre de salariés en activité partielle de longue durée - APL,,None,None,None,None,false,false,Date prévisionnelle de la première valeur non nulle de l'indicateur: 31/07/2020,false,575,true,"",false,"","{Entreprises,Particuliers,effect:main,Plan de Relance européen,planningdate:072020,aggregated,periodicity:monthly}","2021-03-05 23:59:59"
Nombre d’entreprises bénéficiaires - ICC,,None,None,None,None,false,false,"",false,264,true,"",false,"","{aggregated,PIA,Entreprises,effect:main,periodicity:quarterly}","2021-03-05 23:59:59"
Nombre de stratégies validées - MNS,,None,None,None,None,false,false,"",false,315,true,"",false,"","{Plan de Relance européen,Entreprises,aggregated,PIA,periodicity:monthly}","2021-03-05 23:59:59"
Montant de l’investissement total déclenché - CIR,,None,None,None,None,false,false,Date prévisionnelle de la première valeur non nulle de l'indicateur : 01/04/2021,false,385,true,"",false,"","{Plan de Relance européen,Entreprises,periodicity:yearly,aggregated,planningdate:042021}","2021-03-05 23:59:59"
Nombre d’entreprises bénéficiaires - CIR,,None,None,None,None,false,false,Date prévisionnelle de la première valeur non nulle de l'indicateur : 01/04/2021,false,260,true,"",false,"","{Plan de Relance européen,planningdate:042021,aggregated,effect:main,periodicity:yearly,Entreprises}","2021-03-05 23:59:59"
Montant total des garanties souscrites - PVG,,None,None,None,None,false,false,Date prévisionnelle de la première valeur non nulle de l'indicateur: 02/04/2021,false,170,true,"",false,"","{unit:M€,Entreprises,cumulated,periodicity:monthly,aggregated,Plan de Relance européen,planningdate:042021}","2021-03-05 23:59:59"
Montant des crédits programmés - ICC,,None,None,None,None,false,false,"",false,319,true,"",false,"","{aggregated,PIA,Entreprises,periodicity:monthly}","2021-03-05 23:59:59"
Nombre de contrats de professionnalisation bénéficiaires de l’aide exceptionnelle - CDP,,None,None,None,None,false,false,Date prévisionnelle de la première valeur non nulle de l'indicateur: 31/07/2020,false,590,true,"",false,"","{Jeunes,cumulated,aggregated,Entreprises,effect:main,Particuliers,periodicity:monthly,planningdate:072020,Plan de Relance européen}","2021-03-05 23:59:59"
Km de petites lignes dont les travaux sont soutenus - SPL,,None,None,None,None,false,false,Travaux validés. Date prévisionnelle de la première valeur non nulle de l'indicateur: 30/11/2020,false,510,true,"",false,"","{Convention citoyenne pour le climat,planningdate:112020,Collectivités territoriales,effect:main,Plan de Relance européen,periodicity:monthly,unit:km,cumulated,aggregated}","2021-03-05 23:59:59"
Nombre de TPE/PME/ETI bénéficiaires - PPA,,None,None,None,None,false,false,Date prévisionnelle de la première valeur non nulle de l'indicateur: 01/04/2021,false,195,true,"",false,"","{periodicity:monthly,tableau de bord,aggregated,Entreprises,planningdate:042021,cumulated,effect:main}","2021-03-05 23:59:59"
Volume de GES évités - VDP,,None,None,None,None,false,false,Date prévisionnelle de la première valeur non nulle de l'indicateur: fin 2021,false,305,true,"",false,"","{planningdate:122021,aggregated,Collectivités territoriales,cumulated,entreprises,Administrations,periodicity:monthly,effect:main}","2021-03-05 23:59:59"
Linéaire de réseaux d’eau potable et de réseaux d’assainissement soutenus en métropole - MRB,,None,None,None,None,false,false,Métropole uniquement. Date prévisionnelle de la première valeur non nulle de l'indicateur: 28/02/2021,false,445,true,"",false,"","{cumulated,unit:km,planningdate:022021,Plan de Relance européen,effect:main,Administrations,appel à projets,periodicity:monthly,aggregated,Collectivités territoriales}","2021-03-05 23:59:59"
Montant total des projets - PIT,,None,None,None,None,false,false,"",false,255,true,"",false,"","{periodicity:monthly,Collectivités territoriales,tableau de bord,appel à projets,Entreprises,aggregated}","2021-03-05 23:59:59"
Montant total des projets financés par les opérateurs - IFS,,None,None,None,None,false,false,"",false,340,true,"",false,"","{PIA,Plan de Relance européen,aggregated,appel à projets,Entreprises,periodicity:quarterly}","2021-03-05 23:59:59"
"Nombre d’exploitations certifiées ""haute valeur environnementale"" - CIC",,None,None,None,None,false,false,Date prévisionnelle de la première valeur non nulle de l'indicateur: 15/07/2021,false,15,true,"",false,"","{cumulated,periodicity:biannually,effect:main,aggregated,planningdate:072021,Entreprises,Convention citoyenne pour le climat}","2021-03-05 23:59:59"
Surface agricole utile (SAU) dédiée aux légumineuses associée aux projets soutenus (ha) - PPR,,None,None,None,None,false,false,Date prévisionnelle de la première valeur non nulle de l'indicateur: 15/07/2021,false,20,true,"",false,"","{aggregated,Entreprises,unit:ha,Convention citoyenne pour le climat,appel à projets,periodicity:biannually,cumulated,effect:main,planningdate:072021}","2021-03-05 23:59:59"
Entrées de jeunes en PEC - PEC,,None,None,None,None,false,false,Date prévisionnelle de la première valeur non nulle de l'indicateur: 31/12/2020,false,610,true,"",false,"","{Jeunes,aggregated,effect:main,cumulated,planningdate:122020,Particuliers,periodicity:monthly,tableau de bord,Collectivités territoriales}","2021-03-05 23:59:59"
Montant cumulé de l’investissement total ainsi déclenché - PEE,,None,None,None,None,false,false,"",false,140,true,"",false,"","{aggregated,periodicity:monthly,cumulated,tableau de bord,Entreprises,Plan de Relance européen,unit:M€,appel à projets}","2021-03-05 23:59:59"
Nombre d'aides à l'embauche des jeunes - PEJ,,None,None,None,None,false,false,Date prévisionnelle de la première valeur non nulle de l'indicateur: 31/08/2020,false,600,true,"",false,"","{effect:main,tableau de bord,Particuliers,Plan de Relance européen,Jeunes,periodicity:monthly,cumulated,Entreprises,aggregated}","2021-03-05 23:59:59"
Montant des fonds propres garantis - GFP,,None,None,None,None,false,false,Date prévisionnelle de la première valeur non nulle de l'indicateur: 01/07/2021,false,200,true,"",false,"","{aggregated,periodicity:monthly,tableau de bord,cumulated,Entreprises,unit:M€,planningdate:072021}","2021-03-05 23:59:59"
Nombre de projets bénéficiaires (validés) - RRE,,None,None,None,None,false,false,Avec accord de principe validé pour le financement de l'opération. Date prévisionnelle de la première valeur non nulle de l'indicateur: 15/04/2021,false,490,true,"",false,"","{cumulated,planningdate:042021,effect:main,Collectivités territoriales,Administrations,Entreprises,periodicity:monthly,Plan de Relance européen,aggregated}","2021-03-05 23:59:59"
"Locaux acquis par des foncières soutenues par la Banque des territoires, en vue de l’ouverture de nouveaux commerces - RDC",,None,None,None,None,false,false,"",false,70,true,"",false,"","{tableau de bord,Collectivités territoriales,periodicity:monthly,effect:main,aggregated,Entreprises}","2021-03-05 23:59:59"
Montant total des travaux associés aux dossiers validés - MPR,,None,None,None,None,false,false,Correspond aux dossiers validés (remboursés  6 mois après),false,395,true,"",false,"","{tableau de bord,Particuliers,Convention citoyenne pour le climat,Plan de Relance européen,aggregated,periodicity:monthly}","2021-03-05 23:59:59"
